gender,nationality,place_of_birth,education_stage,grade,classroom_id,subject,semester,parent_involved,raised_hands,resource_visits,announcements_viewed,discussion_participation,parent_answered_survey,parent_school_satisfaction,absence_category,pass_fail_status
male,jordan,jordan,middleschool,g-07,b,science,second,father,52,10,13,6,no,bad,high,fail
male,kuwait,kuwait,middleschool,g-07,b,science,second,father,72,80,58,66,yes,good,high,pass
female,kuwait,kuwait,middleschool,g-07,b,science,second,mum,72,80,58,66,yes,good,high,pass
male,egypt,egypt,middleschool,g-07,b,science,second,mum,92,80,88,76,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-07,b,science,second,mum,72,80,98,96,yes,bad,low,pass
male,egypt,egypt,middleschool,g-07,b,science,second,father,72,80,58,86,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-07,b,science,second,father,22,20,18,6,no,bad,high,fail
male,egypt,kuwait,middleschool,g-07,b,science,second,father,12,20,38,46,no,bad,high,pass
male,kuwait,kuwait,middleschool,g-07,b,it,second,mum,70,92,83,85,yes,bad,low,pass
female,kuwait,kuwait,middleschool,g-06,a,it,second,father,50,40,52,66,yes,bad,low,pass
female,kuwait,kuwait,middleschool,g-06,a,science,second,father,80,94,62,77,yes,good,low,pass
female,kuwait,kuwait,middleschool,g-06,a,math,second,father,87,48,82,96,no,bad,high,pass
female,kuwait,kuwait,middleschool,g-06,a,quran,second,father,70,40,2,16,no,bad,high,fail
male,kuwait,kuwait,lowerschool,g-04,a,it,second,father,65,86,62,40,no,good,high,pass
male,kuwait,kuwait,lowerschool,g-04,a,math,second,father,15,6,32,40,yes,good,low,pass
male,egypt,egypt,lowerschool,g-04,a,english,second,mum,19,74,32,17,no,good,high,fail
female,kuwait,kuwait,lowerschool,g-04,a,science,second,father,69,76,82,94,no,bad,low,pass
male,kuwait,kuwait,lowerschool,g-04,a,arabic,second,father,39,26,12,44,no,bad,high,fail
male,kuwait,kuwait,lowerschool,g-04,a,english,second,father,59,97,42,70,yes,good,low,pass
male,kuwait,kuwait,lowerschool,g-04,a,history,second,father,10,17,12,40,yes,good,low,pass
female,kuwait,kuwait,lowerschool,g-04,a,history,second,mum,80,87,72,60,no,good,low,pass
female,kuwait,kuwait,lowerschool,g-04,a,history,second,father,70,99,66,65,no,good,low,pass
female,kuwait,kuwait,lowerschool,g-04,a,history,second,father,80,97,86,95,yes,good,low,pass
male,kuwait,kuwait,lowerschool,g-04,a,english,second,mum,69,34,12,17,no,bad,high,fail
male,kuwait,kuwait,lowerschool,g-04,a,history,second,father,10,17,12,14,no,bad,high,fail
male,kuwait,kuwait,lowerschool,g-04,a,history,second,father,61,97,82,64,yes,bad,high,pass
female,kuwait,kuwait,lowerschool,g-04,a,history,second,mum,21,27,52,34,yes,good,high,pass
male,egypt,egypt,lowerschool,g-04,a,math,second,mum,49,94,42,7,no,bad,high,pass
female,jordan,jordan,middleschool,g-06,a,english,first,mum,70,64,42,32,no,bad,low,pass
female,jordan,jordan,middleschool,g-06,a,english,second,mum,79,84,82,37,no,bad,low,pass
male,jordan,jordan,middleschool,g-06,a,english,first,father,19,80,12,17,yes,good,high,pass
male,jordan,jordan,middleschool,g-06,a,english,second,father,11,70,32,29,yes,good,high,pass
male,jordan,jordan,middleschool,g-06,a,english,first,father,10,8,10,10,yes,bad,high,pass
male,jordan,jordan,middleschool,g-06,a,english,second,father,18,28,40,20,yes,bad,high,pass
female,jordan,jordan,middleschool,g-06,a,english,first,mum,90,84,52,30,no,good,low,pass
female,jordan,jordan,middleschool,g-06,a,english,second,mum,92,81,32,36,no,good,low,pass
male,jordan,jordan,middleschool,g-06,a,english,first,father,42,21,2,16,no,bad,low,pass
male,jordan,jordan,middleschool,g-06,a,english,second,father,22,20,6,26,no,bad,low,pass
female,lebanon,lebanon,middleschool,g-06,a,english,first,mum,95,82,82,70,yes,good,low,pass
female,lebanon,lebanon,middleschool,g-06,a,english,second,mum,90,62,80,60,yes,good,low,pass
male,palestine,jordan,middleschool,g-06,a,english,first,mum,72,21,22,26,yes,good,low,pass
male,palestine,jordan,middleschool,g-06,a,english,second,mum,92,31,42,27,yes,good,low,pass
male,palestine,jordan,middleschool,g-06,a,english,first,mum,82,31,52,25,no,good,low,pass
male,palestine,jordan,middleschool,g-06,a,english,second,mum,72,41,46,27,no,good,low,pass
male,iraq,iraq,middleschool,g-06,a,english,first,mum,74,71,56,37,no,good,low,pass
male,iraq,iraq,middleschool,g-06,a,english,second,mum,74,60,56,37,no,good,low,pass
female,jordan,jordan,middleschool,g-06,a,english,first,mum,95,94,72,80,no,good,low,pass
female,jordan,jordan,middleschool,g-06,a,english,second,mum,97,87,82,86,no,good,low,pass
male,jordan,jordan,middleschool,g-06,a,english,first,father,40,38,32,36,no,bad,high,pass
male,jordan,jordan,middleschool,g-06,a,english,second,father,41,39,35,39,yes,bad,high,pass
female,jordan,jordan,middleschool,g-06,a,english,first,mum,51,79,85,89,yes,good,low,pass
female,jordan,jordan,middleschool,g-06,a,english,second,mum,81,79,91,85,yes,good,low,pass
male,palestine,jordan,middleschool,g-06,a,english,first,mum,71,70,65,69,yes,good,low,pass
male,palestine,jordan,middleschool,g-06,a,english,second,mum,75,71,76,80,yes,good,low,pass
